                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0392,                0.58226,                0.88217,                 0.9765,                0.98531,                0.99423,                0.78531,                 0.5394,                0.37134,                0.52745,              0.0013268,              0.0013268,              0.0013268
                     36,                  1.028,                0.57899,                0.88841,                0.97034,                0.98845,                0.99293,                0.76991,                0.57839,                0.38789,                0.52997,               0.001307,               0.001307,               0.001307
                     37,                 1.0241,                0.58456,                0.88228,                 0.9771,                0.98547,                0.99334,                0.78561,                0.53743,                0.31988,                0.52815,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.0173,                0.57069,                0.87231,                0.98073,                0.99149,                0.99453,                0.78077,                0.54204,                0.37522,                0.52266,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.0055,                0.56472,                0.86795,                 0.9783,                0.98298,                0.99386,                0.77314,                0.54942,                0.46693,                0.53025,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0148,                 0.5733,                0.87288,                0.97454,                 0.9924,                0.99399,                0.80205,                0.53756,                0.37545,                0.52223,              0.0012278,              0.0012278,              0.0012278
                     41,                 0.9796,                0.55589,                0.86843,                0.98545,                0.99119,                0.99443,                0.78575,                0.52126,                0.34517,                0.52108,               0.001208,               0.001208,               0.001208
                     42,                0.98774,                0.55623,                0.86765,                0.98314,                0.99268,                0.99441,                0.81183,                0.51762,                0.34732,                0.52413,              0.0011882,              0.0011882,              0.0011882
                     43,                0.94661,                0.54357,                0.87284,                0.98267,                0.99058,                0.99441,                0.80944,                0.50438,                0.35745,                0.51668,              0.0011684,              0.0011684,              0.0011684
                     44,                0.94488,                0.54726,                0.85858,                0.97466,                0.99366,                0.99425,                0.80439,                0.50583,                0.35932,                0.51753,              0.0011486,              0.0011486,              0.0011486
                     45,                0.96169,                0.55359,                0.85944,                 0.9898,                0.97629,                0.99447,                0.78209,                0.53041,                0.40455,                0.52319,              0.0011288,              0.0011288,              0.0011288
                     46,                0.93211,                0.53297,                0.86618,                0.97172,                0.99209,                0.99401,                0.80105,                0.50666,                0.34209,                0.51811,               0.001109,               0.001109,               0.001109
                     47,                0.93084,                0.53557,                0.86269,                0.98371,                  0.991,                0.99467,                0.81955,                0.48258,                0.31843,                0.51788,              0.0010892,              0.0010892,              0.0010892
                     48,                0.91907,                0.52235,                0.85347,                0.99602,                0.98834,                0.99485,                0.80586,                0.50025,                0.29229,                0.51833,              0.0010694,              0.0010694,              0.0010694
                     49,                0.88667,                0.51175,                0.84896,                0.99328,                0.99058,                0.99484,                0.83362,                0.46961,                0.32593,                 0.5124,              0.0010496,              0.0010496,              0.0010496
                     50,                0.91064,                0.51479,                0.85038,                 0.9899,                0.99027,                0.99467,                0.83153,                0.45663,                0.31529,                0.51283,              0.0010298,              0.0010298,              0.0010298
                     51,                0.89797,                0.51257,                0.85484,                0.99153,                0.99678,                0.99475,                0.82387,                0.49104,                0.31158,                0.51379,                0.00101,                0.00101,                0.00101
                     52,                0.90139,                0.51069,                 0.8542,                0.98851,                0.99367,                 0.9945,                0.83868,                0.47209,                0.30489,                0.51428,              0.0009902,              0.0009902,              0.0009902
                     53,                0.88005,                0.50358,                0.84835,                0.98851,                0.99377,                 0.9948,                 0.8435,                0.47057,                0.28199,                0.51187,              0.0009704,              0.0009704,              0.0009704
                     54,                0.87705,                0.50809,                0.85417,                0.99421,                 0.9923,                 0.9949,                0.84176,                0.45557,                0.32462,                0.51193,              0.0009506,              0.0009506,              0.0009506
                     55,                0.84926,                0.50052,                0.84973,                0.99204,                0.98845,                0.99484,                0.83223,                 0.4664,                0.29419,                0.51196,              0.0009308,              0.0009308,              0.0009308
                     56,                0.85654,                0.49173,                0.84595,                0.99543,                0.99267,                0.99496,                0.85098,                0.44283,                0.31245,                0.50866,               0.000911,               0.000911,               0.000911
                     57,                0.85335,                0.48991,                0.84638,                0.99423,                0.99445,                0.99494,                0.85763,                0.42995,                0.29199,                0.50948,              0.0008912,              0.0008912,              0.0008912
                     58,                0.84973,                0.48303,                0.84246,                 0.9933,                0.99142,                 0.9949,                0.85723,                0.43504,                0.28474,                0.50916,              0.0008714,              0.0008714,              0.0008714
                     59,                0.82351,                0.47686,                0.84325,                0.99422,                 0.9933,                0.99495,                0.85895,                0.43397,                0.28882,                0.50932,              0.0008516,              0.0008516,              0.0008516
